Название,Вес,Время,Количество повторений,Количество подходов,Время отдыха между повторениями,Краткое описание,Целевые мышцы,Рейтинг упражнения,Оригинальное название на английском,Сложность,Частые ошибки
Тяга к подбородку широким хватом поочерёдно,10,0,8,4,60,"Возьмитесь узким хватом; тяните штангу вдоль корпуса до верхней груди/ключиц, локти выше грифа, опускайте плавно. Сохраняйте запястья ровными и ведите локти по линии движения. Выполняйте руками поочерёдно, удерживая корпус стабильным.",плечи/трапеции,4.7,Upright row — wide-grip — alternating,Средний,Слишком узкий хват; подъём слишком высоко; излом запястий; отсутствует контроль темпа; отсутствует контроль темпа.
Шраги сидя поочерёдно,6,0,12,3,120,"Держите гантели по бокам; поднимайте плечи вверх к ушам, делая короткую паузу, опускайте полностью. Сядьте и стабилизируйте корпус, не прогибайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трапеции,4.3,Shrug — seated — alternating,Новичок,Вращение плечами; короткая амплитуда; чрезмерный вес с читингом; отсутствует контроль темпа; отсутствует контроль темпа.
Подъём на бицепс со штангой широким хватом поочерёдно,6,0,12,4,180,"Стойка стабильна, локти у корпуса; сгибайте руки, не раскачивая корпус, опускайте под контролем. Сохраняйте запястья ровными и ведите локти по линии движения. Выполняйте руками поочерёдно, удерживая корпус стабильным.",бицепс,4.5,Barbell biceps curl — wide-grip — alternating,Средний,Раскачка корпусом; локти уходят вперёд; частичная амплитуда; отсутствует контроль темпа; отсутствует контроль темпа.
Подъём на бицепс молот сидя поочерёдно,10,0,8,4,180,"Хват нейтральный, локти у корпуса; поднимайте гантели, сохраняя предплечья в нейтрали, опускайте медленно. Сядьте и стабилизируйте корпус, не прогибайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",бицепс/предплечья,3.5,Hammer curl — seated — alternating,Новичок,Локти отходят; махи; неконтролируемая эксцентрика; отсутствует контроль темпа; отсутствует контроль темпа.
Концентрированный подъём на бицепс сидя поочерёдно,12,0,12,3,90,"Сядьте, упёрев локоть в бедро; поднимайте гантель к плечу, делая паузу вверху, опускайте контролируемо. Сядьте и стабилизируйте корпус, не прогибайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",бицепс,4.4,Concentration curl — seated — alternating,Новичок,Движение плечом; потеря фиксации локтя; скручивание корпуса; отсутствует контроль темпа; отсутствует контроль темпа.
Французский жим широким хватом поочерёдно,16,0,8,3,60,"Лягте на скамью, штанга над грудью; сгибайте руки, опуская гриф к лбу/за голову, разогните до полного сокращения трицепса. Сохраняйте запястья ровными и ведите локти по линии движения. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трицепс,3.6,Lying triceps extension — wide-grip — alternating,Средний,Локти расходятся; опускание на лоб; гиперпрогиб в пояснице; отсутствует контроль темпа; отсутствует контроль темпа.
Разгибания на блоке на нижнем блоке поочерёдно,10,0,15,5,180,"Встаньте у верхнего блока, локти прижаты; разгибайте руки вниз до полного выпрямления и возвращайте без раскачки. Фиксируйте корпус и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трицепс,4.9,Triceps pushdown — low pulley — alternating,Новичок,Локти уходят от корпуса; раскачка; перегиб кистей; отсутствует контроль темпа; отсутствует контроль темпа.
Отжимания на брусьях на одной руке/ноге поочерёдно,4,0,15,3,150,"Опирайтесь на брусья, корпус слегка наклонён; опускайтесь до параллели плеч с локтями, выжимайтесь вверх. Усложните вариант, удерживая корпус стабильно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",грудь/трицепс,4.6,Dip — single-arm/leg — alternating,Продвинутый,Сильный провал в плечах; чрезмерная глубина; разброс локтей; отсутствует контроль темпа; отсутствует контроль темпа.
Отжимания на одной руке/ноге поочерёдно,4,0,12,5,150,"Упритесь ладонями под плечами, корпус прямой; опуститесь до касания грудью/90° в локтях, выжмитесь вверх. Усложните вариант, удерживая корпус стабильно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",грудь/плечи/трицепс,5.0,Push-up — single-arm/leg — alternating,Продвинутый,Провисание корпуса; локти сильно в стороны; неполная амплитуда; отсутствует контроль темпа; отсутствует контроль темпа.
Скручивания на одной руке/ноге поочерёдно,4,0,15,5,180,"Лягте на спину, колени согнуты; подкручивайте грудную клетку к тазу, не тяните шею, делайте короткую паузу вверху. Усложните вариант, удерживая корпус стабильно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",пресс,3.5,Crunch — single-arm/leg — alternating,Продвинутый,Тянуть шею руками; рывки; большой размах вместо подкручивания; отсутствует контроль темпа; отсутствует контроль темпа.
Подъём ног в висе на одной руке/ноге поочерёдно,6,0,12,5,90,"Повисните на перекладине; поднимайте прямые ноги/колени к груди, удерживая таз подкрученным, опускайте медленно. Усложните вариант, удерживая корпус стабильно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",нижний пресс,3.6,Hanging leg raise — single-arm/leg — alternating,Продвинутый,Махи ногами; прогиб поясницы; отсутствие подкрутки таза; отсутствует контроль темпа; отсутствует контроль темпа.
Планка на одной руке/ноге поочерёдно,20,20,0,4,180,"Опуститесь на предплечья, корпус прямой; держите нейтральную спину и напряжённый кор, не провисайте. Усложните вариант, удерживая корпус стабильно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",кор,3.5,Plank — single-arm/leg — alternating,Продвинутый,Провисание поясницы; поднятый таз; разведение лопаток; отсутствует контроль темпа; отсутствует контроль темпа.
Русский твист на одной руке/ноге поочерёдно,20,45,0,3,150,"Сядьте, корпус слегка отклонён; поворачивайте плечевой пояс и таз синхронно, касаясь пола по сторонам. Усложните вариант, удерживая корпус стабильно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",косые мышцы живота,4.4,Russian twist — single-arm/leg — alternating,Продвинутый,Скругление спины; вращение одними руками; слишком быстрый темп; отсутствует контроль темпа; отсутствует контроль темпа.
Берпи на одной руке/ноге поочерёдно,12,40,0,5,150,"Из стойки сделайте упор лёжа, отожмитесь; подпрыгните вверх с руками над головой. Усложните вариант, удерживая корпус стабильно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",всё тело/кардио,4.7,Burpee — single-arm/leg — alternating,Продвинутый,Плохая техника отжимания; колени заваливаются при прыжке; отсутствие фиксации вверху; отсутствует контроль темпа; отсутствует контроль темпа.
Скакалка на одной руке/ноге поочерёдно,6,30,0,3,60,"Держите локти близко к корпусу; вращайте верёвку кистями и приземляйтесь на носки мягко и ритмично. Усложните вариант, удерживая корпус стабильно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",кардио/икры,3.6,Jump rope — single-arm/leg — alternating,Продвинутый,Слишком высокие прыжки; вращение плечами; жёсткая посадка на пятку; отсутствует контроль темпа; отсутствует контроль темпа.
Тяга каната к лицу на нижнем блоке поочерёдно,6,0,10,3,150,"Встаньте у блока с канатом; тяните к лицу, разводя кисти и сводя лопатки, держите локти высоко. Фиксируйте корпус и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",задняя дельта/верх спины,4.5,Face pull — low pulley — alternating,Новичок,Локти низко; тянуть руками без лопаток; нет разведения кистей; отсутствует контроль темпа; отсутствует контроль темпа.
Обратные разведения в тренажёре одной ногой/рукой поочерёдно,16,0,12,3,180,"Сядьте лицом к тренажёру; разводите рукояти, сводя лопатки, удерживайте паузу и возвращайте контролируемо. Работайте поочерёдно, соблюдая симметрию. Выполняйте руками поочерёдно, удерживая корпус стабильным.",задняя дельта,4.0,Reverse pec deck — single-leg/arm — alternating,Средний,Работает трапеция вместо дельт; рывки; нет паузы в пик-сокращении; отсутствует контроль темпа; отсутствует контроль темпа.
Тяга гантели в наклоне сидя поочерёдно,16,0,12,3,60,"Упритесь коленом и рукой в скамью; тяните гантель к тазу, сводя лопатки, опускайте без рывка. Сядьте и стабилизируйте корпус, не прогибайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",широчайшие/средняя спина,4.3,Dumbbell row — seated — alternating,Средний,Скручивание корпуса; рывки; тяга к плечу вместо к тазу; отсутствует контроль темпа; отсутствует контроль темпа.
Хип-траст широким хватом поочерёдно,6,0,12,5,90,"Плечи на скамье, штанга на тазе; поднимайте таз до линии корпус–бёдра, делая паузу вверху, опускайте. Сохраняйте запястья ровными и ведите локти по линии движения. Выполняйте руками поочерёдно, удерживая корпус стабильным.",ягодицы,4.3,Hip thrust — wide-grip — alternating,Средний,Чрезмерный прогиб; короткая пауза; неверная постановка стоп; отсутствует контроль темпа; отсутствует контроль темпа.
Ягодичный мост на одной руке/ноге поочерёдно,10,0,6,5,60,"Лягте на спину, стопы ближе к тазу; поднимайте таз, сжимая ягодицы, опускайте, сохраняя нейтральную спину. Усложните вариант, удерживая корпус стабильно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",ягодицы,3.7,Glute bridge — single-arm/leg — alternating,Продвинутый,Толчок поясницей; неполная амплитуда; колени гуляют; отсутствует контроль темпа; отсутствует контроль темпа.
Трастеры широким хватом поочерёдно,6,45,0,5,120,"Присядьте со штангой на груди и взрывно выжмите её над головой, возвращаясь в стойку контролируемо. Сохраняйте запястья ровными и ведите локти по линии движения. Выполняйте руками поочерёдно, удерживая корпус стабильным.",всё тело,4.3,Thruster — wide-grip — alternating,Продвинутый,Ранний пресс до выпрямления ног; дуга грифа; колени заваливаются; отсутствует контроль темпа; отсутствует контроль темпа.
Жим Арнольда сидя поочерёдно,6,0,15,5,90,"Сидя, начните с гантелями у груди ладонями к себе; вращая кисти, выжмите вверх до полного разгибания и опустите обратно. Сядьте и стабилизируйте корпус, не прогибайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",плечи,3.9,Arnold press — seated — alternating,Средний,Сваливание локтей; сведение с ударом; излишний прогиб; отсутствует контроль темпа; отсутствует контроль темпа.
Фермерская прогулка сидя поочерёдно,16,60,0,5,180,"Возьмите тяжёлые гантели, корпус высокий; идите ровно короткими шагами, удерживая кор и нейтральную спину. Сядьте и стабилизируйте корпус, не прогибайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",хват/кор/трапеции,3.5,Farmer's walk — seated — alternating,Средний,Сутулость; переваливание корпуса; стук снарядов о ноги; задержка дыхания; отсутствует контроль темпа; отсутствует контроль темпа.
Гиперэкстензия одной ногой/рукой поочерёдно,10,0,12,5,90,"Застегнитесь в римском стуле; поднимайте корпус до линии с ногами, не переразгибая, опускайте контролируемо. Работайте поочерёдно, соблюдая симметрию. Выполняйте руками поочерёдно, удерживая корпус стабильным.",разгибатели спины/ягодицы,3.6,Back extension — single-leg/arm — alternating,Средний,Переразгибание вверху; движение за счёт спины; слишком быстрый темп; отсутствует контроль темпа; отсутствует контроль темпа.
Кикбэк на трицепс с гантелью сидя поочерёдно,10,0,8,4,120,"Наклоните корпус, локоть прижмите и поднимите вверх; разгибайте руку назад до полного сокращения трицепса, возвращайте плавно. Сядьте и стабилизируйте корпус, не прогибайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трицепс,4.4,Dumbbell triceps kickback — seated — alternating,Новичок,Движение плечом; локоть опускается; чрезмерный вес; отсутствует контроль темпа; отсутствует контроль темпа.
Кикбэк на трицепс на блоке (канате) на нижнем блоке поочерёдно,10,0,6,3,150,"Корпус в наклоне, локти фиксированы; разгибайте предплечья назад, разводя концы каната в конце амплитуды. Фиксируйте корпус и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трицепс,4.6,Cable triceps kickback (rope) — low pulley — alternating,Новичок,Разведение локтей; движение корпусом; излом запястий; отсутствует контроль темпа; отсутствует контроль темпа.
Кикбэк на трицепс с опорой на скамью сидя поочерёдно,16,0,8,4,60,"Опирайтесь на скамью свободной рукой; из положения наклона разгибайте руку с гантелью назад до полного выпрямления. Сядьте и стабилизируйте корпус, не прогибайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трицепс,4.8,Bench-supported dumbbell triceps kickback — seated — alternating,Новичок,Округление спины; локоть «уезжает»; махи; отсутствует контроль темпа; отсутствует контроль темпа.
Кикбэк на трицепс в наклоне (поочерёдно) сидя поочерёдно,12,0,8,5,120,"В наклоне разгибайте поочерёдно каждую руку назад, фиксируя локоть и избегая раскачки корпуса. Сядьте и стабилизируйте корпус, не прогибайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трицепс,4.4,Alternating dumbbell triceps kickback — seated — alternating,Новичок,Раскачка корпусом; опускание локтя; неполная амплитуда; отсутствует контроль темпа; отсутствует контроль темпа.
Жим штанги лёжа с паузой внизу поочерёдно,6,0,15,3,180,"Лягте на скамью, лопатки сведены, стопы упираются; опустите штангу к нижней груди и выжмите вверх, не теряя напряжение. Делайте паузу 1–2 сек в нижней точке, не теряя напряжение. Выполняйте руками поочерёдно, удерживая корпус стабильным.",грудь/плечи/трицепс,4.0,Barbell bench press — with bottom pause — alternating,Продвинутый,Развод локтей; отрыв стоп; отскок от груди; гиперпрогиб в пояснице; неполная пауза; отсутствует контроль темпа; отсутствует контроль темпа.
Жим гантелей на наклонной скамье стоя поочерёдно,16,0,8,4,60,"Лягте на наклон 30–45°, гантели у груди; выжмите по дуге вверх и сведите без удара, опускайте контролируемо. Держите корпус напряжённым и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",верхняя грудь/плечи,4.0,Incline dumbbell press — standing — alternating,Средний,Сведение с ударом; провал плеч; опускание слишком низко; потеря контроля лопаток; отсутствует контроль темпа; отсутствует контроль темпа.
Разводка гантелей лёжа стоя поочерёдно,8,0,6,3,60,"Лягте на скамью, лёгкий сгиб в локтях; разводите руки по широкой дуге до растяжения груди и сводите обратно. Держите корпус напряжённым и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",грудь,4.7,Dumbbell flye — standing — alternating,Средний,Слишком прямые руки; рывки; чрезмерный вес; превращение движения в жим; отсутствует контроль темпа; отсутствует контроль темпа.
Сведение рук в кроссовере с паузой в пик-сокращении поочерёдно,8,0,6,3,60,"Встаньте между блоками, корпус слегка наклонён; сводите рукояти по дуге перед грудью, контролируя растяжение и сокращение. Пауза 1–2 сек в пик-сокращении. Выполняйте руками поочерёдно, удерживая корпус стабильным.",грудь,4.0,Cable crossover — with peak pause — alternating,Средний,Скручивание корпуса; рывки; сведение за счёт плеч; неверная высота траектории; отсутствует контроль темпа; отсутствует контроль темпа.
Подтягивания с паузой поочерёдно,10,0,8,5,180,"Возьмитесь за перекладину пронированным хватом, корпус стабилен; тянитесь грудью к перекладине, опускайтесь до полного выпрямления рук. Делайте паузы в сложных точках движения. Выполняйте руками поочерёдно, удерживая корпус стабильным.",спина/бицепс,4.2,Pull-up — with pause — alternating,Средний,Недоразгибание локтей; раскачка; подбородок не выше перекладины; не сводите лопатки; отсутствует контроль темпа; отсутствует контроль темпа.
Тяга верхнего блока с паузой в пик-сокращении поочерёдно,10,0,12,5,60,"Возьмитесь широким хватом, грудь вперёд; тяните рукоять к верхней груди, сводя лопатки, поднимайте руки контролируемо. Пауза 1–2 сек в пик-сокращении. Выполняйте руками поочерёдно, удерживая корпус стабильным.",широчайшие/бицепс,4.3,Lat pulldown — with peak pause — alternating,Средний,Тяга за голову; чрезмерный прогиб; работа руками вместо спины; отбивание веса; отсутствует контроль темпа; отсутствует контроль темпа.
Тяга штанги в наклоне с паузой внизу поочерёдно,12,0,6,5,120,"Станьте в наклон 30–45°, спина нейтральна; тяните штангу к нижней части живота, сводя лопатки, опускайте без рывков. Делайте паузу 1–2 сек в нижней точке, не теряя напряжение. Выполняйте руками поочерёдно, удерживая корпус стабильным.",спина/задняя дельта,4.5,Bent-over barbell row — with bottom pause — alternating,Продвинутый,Круглая спина; подрыв корпусом; траектория слишком высоко; отсутствие паузы; отсутствует контроль темпа; отсутствует контроль темпа.
Гребля на тренажёре медленный негатив поочерёдно,20,40,0,3,150,"Сядьте, стопы закреплены, спина нейтральна; толчок ногами, затем тяга к солнечному сплетению, верните в обратной последовательности. Опускайте 3–4 сек для контроля и чувства мышцы. Выполняйте руками поочерёдно, удерживая корпус стабильным.",спина/кардио,4.5,Rowing machine — slow eccentric — alternating,Продвинутый,Тянуть одними руками; ранний подсрыв корпусом; провал колен внутрь; сгибание запястий; отсутствует контроль темпа; отсутствует контроль темпа.
Становая тяга с паузой внизу поочерёдно,8,0,6,5,90,"Стопы на ширине таза, гриф над серединой стопы; держите спину нейтральной, поднимайте штангу, разгибая колени и бёдра одновременно. Делайте паузу 1–2 сек в нижней точке, не теряя напряжение. Выполняйте руками поочерёдно, удерживая корпус стабильным.",задняя цепь/спина/ягодицы,4.1,Deadlift — with bottom pause — alternating,Продвинутый,Округление поясницы; гриф далеко от тела; рывок с пола; перезалом вверху; отсутствует контроль темпа; отсутствует контроль темпа.
Румынская тяга с паузой внизу поочерёдно,10,0,15,3,60,"Штанга в руках, колени мягкие; отведите таз назад, опуская штангу вдоль бёдер до натяжения задней поверхности, затем вернитесь. Делайте паузу 1–2 сек в нижней точке, не теряя напряжение. Выполняйте руками поочерёдно, удерживая корпус стабильным.",бёдра/ягодицы,3.7,Romanian deadlift — with bottom pause — alternating,Продвинутый,Сильный сгиб коленей; гриф далеко от ног; гиперпрогиб; короткая амплитуда; отсутствует контроль темпа; отсутствует контроль темпа.
Приседания со штангой с паузой внизу поочерёдно,20,0,12,4,150,"Стойка на ширине плеч, корпус напряжён; присядьте до параллели, колени по траектории носков, встаньте, сохраняя нейтральную спину. Делайте паузу 1–2 сек в нижней точке, не теряя напряжение. Выполняйте руками поочерёдно, удерживая корпус стабильным.",квадрицепсы/ягодицы/кор,4.6,Back squat — with bottom pause — alternating,Продвинутый,Колени заваливаются; пятки отрываются; округление спины; непостоянная глубина; отсутствует контроль темпа; отсутствует контроль темпа.
Жим ногами медленный негатив поочерёдно,12,0,8,3,180,"Стопы на платформе, поясница прижата; опускайте платформу до угла 90° в коленях и выжимайте, не выпрямляя колени в «замок». Опускайте 3–4 сек для контроля и чувства мышцы. Выполняйте руками поочерёдно, удерживая корпус стабильным.",квадрицепсы/ягодицы,3.9,Leg press — slow eccentric — alternating,Продвинутый,Сведение колен; отрыв поясницы; замок в коленях; слишком узкая постановка; отсутствует контроль темпа; отсутствует контроль темпа.
Выпады стоя поочерёдно,10,0,6,3,120,"Сделайте широкий шаг вперёд; опуститесь до прямого угла в колене передней ноги, толкнитесь пяткой и вернитесь. Держите корпус напряжённым и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",ягодицы/квадрицепсы,4.8,Lunge — standing — alternating,Средний,Колено заваливается; шаг слишком короткий; чрезмерный наклон корпуса; толчок носком; отсутствует контроль темпа; отсутствует контроль темпа.
Гакк-присед медленный негатив поочерёдно,10,0,12,3,60,"Спина прижата к спинке, стопы чуть впереди; присядьте до параллели и выжмите, держа колени в линии носков. Опускайте 3–4 сек для контроля и чувства мышцы. Выполняйте руками поочерёдно, удерживая корпус стабильным.",квадрицепсы,3.9,Hack squat — slow eccentric — alternating,Продвинутый,Отрыв пяток; колени слишком вперёд; прогиб поясницы; короткая амплитуда; отсутствует контроль темпа; отсутствует контроль темпа.
Сгибания ног лёжа медленный негатив поочерёдно,6,0,12,5,120,"Лягте лицом вниз, валики над пятками; сгибайте колени до полного сокращения бицепса бедра и опускайте контролируемо. Опускайте 3–4 сек для контроля и чувства мышцы. Выполняйте руками поочерёдно, удерживая корпус стабильным.",бицепс бедра,4.0,Lying leg curl — slow eccentric — alternating,Продвинутый,Отрыв таза; рывки; движение тазом; отсутствие паузы; отсутствует контроль темпа; отсутствует контроль темпа.
Разгибания ног медленный негатив поочерёдно,4,0,15,5,120,"Сядьте, валик над голенями; разгибайте колени до верхней точки без рывка, опускайте с контролем. Опускайте 3–4 сек для контроля и чувства мышцы. Выполняйте руками поочерёдно, удерживая корпус стабильным.",квадрицепсы,4.2,Leg extension — slow eccentric — alternating,Продвинутый,Рывки; чрезмерный вес; разведение колен; болтающиеся стопы; отсутствует контроль темпа; отсутствует контроль темпа.
Подъёмы на носки медленный негатив поочерёдно,12,0,12,3,90,"Встаньте носками на платформу; поднимайтесь на носки, делая паузу вверху, опускайтесь до растяжения икр. Опускайте 3–4 сек для контроля и чувства мышцы. Выполняйте руками поочерёдно, удерживая корпус стабильным.",икры,3.8,Calf raise — slow eccentric — alternating,Продвинутый,Короткая амплитуда; пружинение; согнутые колени; разворот носков без контроля; отсутствует контроль темпа; отсутствует контроль темпа.
Жим штанги стоя с паузой внизу поочерёдно,4,0,10,5,150,"Стойка на ширине плеч, корпус напряжён; выжмите штангу над головой по прямой и опустите под контроль. Делайте паузу 1–2 сек в нижней точке, не теряя напряжение. Выполняйте руками поочерёдно, удерживая корпус стабильным.",плечи/трицепс,5.0,Overhead press — with bottom pause — alternating,Продвинутый,Гиперпрогиб поясницы; дуга траектории; локти назад; задержка дыхания; отсутствует контроль темпа; отсутствует контроль темпа.
Жим гантелей сидя стоя поочерёдно,4,0,8,5,150,"Сядьте, лопатки сведены; выжимайте гантели вверх по дуге и опускайте до уровня ушей. Держите корпус напряжённым и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",плечи,4.4,Seated dumbbell shoulder press — standing — alternating,Средний,Сведение с ударом; отрыв поясницы; опускание слишком низко; отсутствует контроль темпа; отсутствует контроль темпа.
Махи гантелями в стороны стоя поочерёдно,6,0,8,4,150,"Встаньте прямо, лёгкий наклон корпуса; поднимайте гантели в стороны до уровня плеч, ведите локтем, опускайте медленно. Держите корпус напряжённым и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",средняя дельта,3.8,Dumbbell lateral raise — standing — alternating,Средний,Читинг корпусом; чрезмерные веса; внутренний поворот плеча; отсутствует контроль темпа; отсутствует контроль темпа.
Тяга к подбородку с паузой внизу поочерёдно,4,0,15,4,90,"Возьмитесь узким хватом; тяните штангу вдоль корпуса до верхней груди/ключиц, локти выше грифа, опускайте плавно. Делайте паузу 1–2 сек в нижней точке, не теряя напряжение. Выполняйте руками поочерёдно, удерживая корпус стабильным.",плечи/трапеции,4.5,Upright row — with bottom pause — alternating,Продвинутый,Слишком узкий хват; подъём слишком высоко; излом запястий; отсутствует контроль темпа; отсутствует контроль темпа.
Шраги стоя поочерёдно,6,0,8,3,90,"Держите гантели по бокам; поднимайте плечи вверх к ушам, делая короткую паузу, опускайте полностью. Держите корпус напряжённым и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трапеции,4.3,Shrug — standing — alternating,Средний,Вращение плечами; короткая амплитуда; чрезмерный вес с читингом; отсутствует контроль темпа; отсутствует контроль темпа.
Подъём на бицепс со штангой с паузой внизу поочерёдно,16,0,15,4,180,"Стойка стабильна, локти у корпуса; сгибайте руки, не раскачивая корпус, опускайте под контролем. Делайте паузу 1–2 сек в нижней точке, не теряя напряжение. Выполняйте руками поочерёдно, удерживая корпус стабильным.",бицепс,4.5,Barbell biceps curl — with bottom pause — alternating,Продвинутый,Раскачка корпусом; локти уходят вперёд; частичная амплитуда; отсутствует контроль темпа; отсутствует контроль темпа.
Подъём на бицепс молот стоя поочерёдно,20,0,6,5,90,"Хват нейтральный, локти у корпуса; поднимайте гантели, сохраняя предплечья в нейтрали, опускайте медленно. Держите корпус напряжённым и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",бицепс/предплечья,4.0,Hammer curl — standing — alternating,Средний,Локти отходят; махи; неконтролируемая эксцентрика; отсутствует контроль темпа; отсутствует контроль темпа.
Концентрированный подъём на бицепс стоя поочерёдно,6,0,6,5,90,"Сядьте, упёрев локоть в бедро; поднимайте гантель к плечу, делая паузу вверху, опускайте контролируемо. Держите корпус напряжённым и не раскачивайтесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",бицепс,3.8,Concentration curl — standing — alternating,Средний,Движение плечом; потеря фиксации локтя; скручивание корпуса; отсутствует контроль темпа; отсутствует контроль темпа.
Французский жим с паузой внизу поочерёдно,8,0,12,4,120,"Лягте на скамью, штанга над грудью; сгибайте руки, опуская гриф к лбу/за голову, разогните до полного сокращения трицепса. Делайте паузу 1–2 сек в нижней точке, не теряя напряжение. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трицепс,3.6,Lying triceps extension — with bottom pause — alternating,Продвинутый,Локти расходятся; опускание на лоб; гиперпрогиб в пояснице; отсутствует контроль темпа; отсутствует контроль темпа.
Разгибания на блоке с паузой в пик-сокращении поочерёдно,8,0,6,5,150,"Встаньте у верхнего блока, локти прижаты; разгибайте руки вниз до полного выпрямления и возвращайте без раскачки. Пауза 1–2 сек в пик-сокращении. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трицепс,4.9,Triceps pushdown — with peak pause — alternating,Средний,Локти уходят от корпуса; раскачка; перегиб кистей; отсутствует контроль темпа; отсутствует контроль темпа.
Отжимания на брусьях с паузой поочерёдно,6,0,12,3,150,"Опирайтесь на брусья, корпус слегка наклонён; опускайтесь до параллели плеч с локтями, выжимайтесь вверх. Делайте паузы в сложных точках движения. Выполняйте руками поочерёдно, удерживая корпус стабильным.",грудь/трицепс,4.3,Dip — with pause — alternating,Средний,Сильный провал в плечах; чрезмерная глубина; разброс локтей; отсутствует контроль темпа; отсутствует контроль темпа.
